glyph_name,ps_name,sort_final
DevLaR,uni0932094D0930,654
DevHalfLaR,uni0932094D0930094D.half,655
DevL.La,uni0932094D0932,656
DevL.La.alt,uni0932094D0932.alt,657
DevLla,uni0933,658
DevHalfLla,uni0933094D.half,659
DevLlaR,uni0933094D0930,660
DevLlaNukta,uni0934,661
DevHalfLlaNukta,uni0934094D.half,662
DevLlaNuktaR,uni0934094D0930,663
DevWa,uni0935,664
DevWaNukta,uni0935093C,665
DevHalfWaNukta,uni0935093C094D.half,666
DevWaNuktaR,uni0935093C094D0930,667
DevHalfWaNuktaR,uni0935093C094D0930094D.half,668
DevHalfWa,uni0935094D.half,669
DevWaR,uni0935094D0930,670
DevHalfWaR,uni0935094D0930094D.half,671
DevSha,uni0936,672
DevShaNukta,uni0936093C,673
DevHalfShaNukta,uni0936093C094D.half,674
DevShaNuktaR,uni0936093C094D0930,675
DevShaNuktaR.alt,uni0936093C094D0930.alt,676
DevHalfShaNuktaR,uni0936093C094D0930094D.half,677
DevHalfShaNuktaR.alt,uni0936093C094D0930094D.half.alt,678
DevHalfSha,uni0936094D.half,679
DevSh.Ca,uni0936094D091A,680
DevShaR,uni0936094D0930,681
DevShaR.alt,uni0936094D0930.alt,682
DevHalfShaR,uni0936094D0930094D.half,683
DevHalfShaR.alt,uni0936094D0930094D.half.alt,684
DevSh.Wa,uni0936094D0935,685
DevSsa,uni0937,686
DevSsaNukta,uni0937093C,687
DevHalfSsaNukta,uni0937093C094D.half,688
DevSsaNuktaR,uni0937093C094D0930,689
DevHalfSsaNuktaR,uni0937093C094D0930094D.half,690
DevHalfSsa,uni0937094D.half,691
DevSs.Tta,uni0937094D091F,692
DevSs.Ttha,uni0937094D0920,693
DevSsaR,uni0937094D0930,694
DevHalfSsaR,uni0937094D0930094D.half,695
DevSa,uni0938,696
DevSaNukta,uni0938093C,697
DevHalfSaNukta,uni0938093C094D.half,698
DevSaNuktaR,uni0938093C094D0930,699
DevHalfSaNuktaR,uni0938093C094D0930094D.half,700
DevHalfSa,uni0938094D.half,701
DevS.Na,uni0938094D0928,702
DevSaR,uni0938094D0930,703
DevHalfSaR,uni0938094D0930094D.half,704
DevHa,uni0939,705
DevHaNukta,uni0939093C,706
DevHaNuktaMaatraUU,uni0939093C0942,707
DevHaNukta.halant,uni0939093C094D.halant,708
DevHalfHaNukta,uni0939093C094D.half,709
DevHaNuktaR,uni0939093C094D0930,710
DevHalfHaNuktaR,uni0939093C094D0930094D.halant,711
DevH.Ri,uni09390943,712
DevHa.halant,uni0939094D.halant,713
DevHalfHa,uni0939094D.half,714
DevH.Na,uni0939094D0928,715
DevH.Ma,uni0939094D092E,716
DevH.Ya,uni0939094D092F,717
DevH.Ya.alt,uni0939094D092F.alt,718
DevH.HalfYa,uni0939094D092F094D.half,719
DevH.YaRa,uni0939094D092F094D0930,720
DevHalfH.YaRa,uni0939094D092F094D0930094D.half,721
DevHaR,uni0939094D0930,722
DevHalfHaR,uni0939094D0930094D.halant,723
DevH.La,uni0939094D0932,724
DevH.Wa,uni0939094D0935,725
DevH.YaNukta,uni0939094D095F,726
DevH.HalfYaNukta,uni0939094D095F094D.half,727
DevH.YaNuktaRa,uni0939094D095F094D0930,728
DevHalfH.YaNuktaRa,uni0939094D095F094D0930094D.half,729
DevMaatraOE,uni093A,730
DevMaatraOOE,uni093B,731
DevNukta,uni093C,732
DevAvagraha,uni093D,733
DevMaatraAA,uni093E,734
DevMaatraAANukta,uni093E093C,735
DevMaatraI,uni093F,736
DevMaatraI.width20,uni093F.width20,737
DevMaatraI.width30,uni093F.width30,738
DevMaatraI.width40,uni093F.width40,739
